,count,mean,std,min,25%,50%,75%,max
tempmax,3934.0,33.12198779867819,1.809156026002511,24.9,32.0,33.0,34.0,39.0
tempmin,3934.0,25.111438739196746,1.6109264324273331,18.0,24.0,25.0,26.0,30.0
temp,3934.0,28.45165226232842,1.390712744432614,22.8,27.5,28.4,29.3,33.0
feelslikemax,3934.0,38.539832231825116,3.2866195957964845,24.9,36.4,39.1,40.5,48.8
feelslikemin,3934.0,25.78858668022369,2.9336599890036985,18.0,24.0,25.0,26.0,40.2
feelslike,3934.0,31.65010167768175,2.9363791724028574,22.8,29.7,31.4,33.5,41.9
dew,3934.0,23.49705134722928,2.2630150621527156,12.7,22.4,24.2,25.1,27.9
humidity,3934.0,76.54519572953737,9.797815001041418,49.2,69.6,77.4,84.2,99.5
precip,3934.0,5.2162175902389425,12.374563049172899,0.0,0.1,0.8,5.0,227.2
precipprob,3934.0,76.02948652770716,42.69577507369685,0.0,100.0,100.0,100.0,100.0
precipcover,3934.0,10.39821809862735,13.303015257928402,0.0,4.17,4.17,12.5,100.0
snow,3934.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
snowdepth,3934.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
windgust,3934.0,31.887697000508393,10.51089593069545,8.3,24.8,29.9,36.7,216.0
windspeed,3934.0,20.214844941535336,5.9554689776550696,7.6,16.6,18.4,22.3,83.5
winddir,3934.0,185.4846975088968,80.38475459701418,0.0,128.225,181.2,250.67499999999998,360.0
sealevelpressure,3934.0,1009.0780122013218,2.0927203049999634,1001.5,1007.6,1009.0,1010.4,1016.3
cloudcover,3934.0,53.16451448906965,14.376699923566026,8.8,42.8,52.1,63.2,100.0
visibility,3934.0,9.331901372648705,0.7795678322103597,5.5,8.9,9.5,9.9,20.0
solarradiation,3934.0,213.12849517031012,49.68457807686074,0.0,185.575,221.25,249.9,315.8
solarenergy,3934.0,18.401779359430606,4.295429117143308,0.0,16.025,19.1,21.6,27.2
uvindex,3934.0,7.803762074224708,1.4936516497416354,0.0,7.0,8.0,9.0,10.0
severerisk,1368.0,27.36842105263158,17.47872184903241,5.0,10.0,30.0,30.0,75.0
moonphase,3934.0,0.48390696492119983,0.28852221295017266,0.0,0.25,0.48,0.75,0.98
